4221 1 0.0 东东东东南南西西北 有将 0.0
4222 0 0.0 东东东东南南西西北北 无将 0.0
4222 1 0.0 东东东东南南西西北北 有将 0.0
4223 0 0.0 东东东东南南西西北北北 无将 0.0
4223 1 0.0 东东东东南南西西北北北 有将 0.0
4123 0 0.0 东东东东南西西北北北 无将 0.0
3200 0 0.0350140056022409 东东东南南 无将 0.0350140056022409
3200 1 1.0 东东东南南 有将 1.0
4121 1 0.0 东东东东南西西北 有将 0.0
4224 0 0.0 东东东东南南西西北北北北 无将 0.0
4224 1 0.0 东东东东南南西西北北北北 有将 0.0
3201 0 0.00784313725490196 东东东南南北 无将 0.00784313725490196
130 0 0.016993464052287584 南西西西 无将 0.016993464052287584
3201 1 0.0421865715983363 东东东南南北 有将 0.0421865715983363
131 0 0.005115089514066496 南西西西北 无将 0.005115089514066496
131 1 0.014705882352941176 南西西西北 有将 0.014705882352941176
132 0 0.00784313725490196 南西西西北北 无将 0.00784313725490196
132 1 0.0421865715983363 南西西西北北 有将 0.0421865715983363
3202 0 0.019992310649750097 东东东南南北北 无将 0.019992310649750097
3202 1 0.07958477508650517 东东东南南北北 有将 0.07958477508650517
3204 0 0.0 东东东南南北北北北 无将 0.0
3204 1 0.0 东东东南南北北北北 有将 0.0
133 0 0.022549019607843137 南西西西北北北 无将 0.022549019607843137
133 1 0.045098039215686274 南西西西北北北 有将 0.045098039215686274
134 0 0.0 南西西西北北北北 无将 0.0
134 1 0.0 南西西西北北北北 有将 0.0
4230 0 0.0 东东东东南南西西西 无将 0.0
4230 1 0.0 东东东东南南西西西 有将 0.0
4231 0 0.0 东东东东南南西西西北 无将 0.0
4231 1 0.0 东东东东南南西西西北 有将 0.0
4233 0 0.0 东东东东南南西西西北北北 无将 0.0
4233 1 0.0 东东东东南南西西西北北北 有将 0.0
3210 0 0.00784313725490196 东东东南南西 无将 0.00784313725490196
3210 1 0.0421865715983363 东东东南南西 有将 0.0421865715983363
4234 0 0.0 东东东东南南西西西北北北北 无将 0.0
4234 1 0.0 东东东东南南西西西北北北北 有将 0.0
3211 0 0.006191950464396284 东东东南南西北 无将 0.006191950464396284
3211 1 0.018575851393188854 东东东南南西北 有将 0.018575851393188854
140 0 0.0 南西西西西 无将 0.0
140 1 0.0 南西西西西 有将 0.0
3212 0 0.007352941176470588 东东东南南西北北 无将 0.007352941176470588
3212 1 0.025210084033613446 东东东南南西北北 有将 0.025210084033613446
141 0 0.0 南西西西西北 无将 0.0
141 1 0.0 南西西西西北 有将 0.0
3213 0 0.0106951871657754 东东东南南西北北北 无将 0.0106951871657754
3213 1 0.029411764705882353 东东东南南西北北北 有将 0.029411764705882353
142 0 0.0 南西西西西北北 无将 0.0
142 1 0.0 南西西西西北北 有将 0.0
3214 0 0.0 东东东南南西北北北北 无将 0.0
3214 1 0.0 东东东南南西北北北北 有将 0.0
143 0 0.0 南西西西西北北北 无将 0.0
143 1 0.0 南西西西西北北北 有将 0.0
144 0 0.0 南西西西西北北北北 无将 0.0
144 1 0.0 南西西西西北北北北 有将 0.0
4240 0 0.0 东东东东南南西西西西 无将 0.0
4240 1 0.0 东东东东南南西西西西 有将 0.0
4241 0 0.0 东东东东南南西西西西北 无将 0.0
4241 1 0.0 东东东东南南西西西西北 有将 0.0
4242 0 0.0 东东东东南南西西西西北北 无将 0.0
4242 1 0.0 东东东东南南西西西西北北 有将 0.0
4243 0 0.0 东东东东南南西西西西北北北 无将 0.0
4243 1 0.0 东东东东南南西西西西北北北 有将 0.0
3220 0 0.019992310649750097 东东东南南西西 无将 0.019992310649750097
3220 1 0.07958477508650517 东东东南南西西 有将 0.07958477508650517
4244 0 0.0 东东东东南南西西西西北北北北 无将 0.0
4244 1 0.0 东东东东南南西西西西北北北北 有将 0.0
3221 0 0.007352941176470588 东东东南南西西北 无将 0.007352941176470588
3221 1 0.025210084033613446 东东东南南西西北 有将 0.025210084033613446
4232 0 0.0 东东东东南南西西西北北 无将 0.0
130 1 0.044117647058823525 南西西西 有将 0.044117647058823525
4123 1 0.0 东东东东南西西北北北 有将 0.0
2200 0 0.01522491349480969 东东南南 无将 0.01522491349480969
2200 1 0.07625272331154685 东东南南 有将 0.07625272331154685
3224 0 0.0 东东东南南西西北北北北 无将 0.0
3224 1 0.0 东东东南南西西北北北北 有将 0.0
2201 0 0.004524886877828054 东东南南北 无将 0.004524886877828054
2201 1 0.0196078431372549 东东南南北 有将 0.0196078431372549
2202 0 0.006920415224913495 东东南南北北 无将 0.006920415224913495
2202 1 0.054117647058823534 东东南南北北 有将 0.054117647058823534
2101 0 0.0031796502384737677 东东南北 无将 0.0031796502384737677
2101 1 0.012170385395537525 东东南北 有将 0.012170385395537525
2203 0 0.019992310649750097 东东南南北北北 无将 0.019992310649750097
2203 1 0.07958477508650517 东东南南北北北 有将 0.07958477508650517
2204 0 0.0 东东南南北北北北 无将 0.0
2204 1 0.0 东东南南北北北北 有将 0.0
3230 0 0.0392156862745098 东东东南南西西西 无将 0.0392156862745098
3230 1 1.0 东东东南南西西西 有将 1.0
3231 0 0.0106951871657754 东东东南南西西西北 无将 0.0106951871657754
3231 1 0.029411764705882353 东东东南南西西西北 有将 0.029411764705882353
3232 0 0.014705882352941176 东东东南南西西西北北 无将 0.014705882352941176
3232 1 0.058823529411764705 东东东南南西西西北北 有将 0.058823529411764705
3233 0 0.029411764705882353 东东东南南西西西北北北 无将 0.029411764705882353
2210 0 0.004524886877828054 东东南南西 无将 0.004524886877828054
3233 1 1.0 东东东南南西西西北北北 有将 1.0
30 0 1.0 西西西 无将 1.0
30 1 0.0499108734402852 西西西 有将 0.0499108734402852
3234 0 0.0 东东东南南西西西北北北北 无将 0.0
4124 0 0.0 东东东东南西西北北北北 无将 0.0
3234 1 0.0 东东东南南西西西北北北北 有将 0.0
2212 0 0.0053475935828877 东东南南西北北 无将 0.0053475935828877
2212 1 0.0213903743315508 东东南南西北北 有将 0.0213903743315508
2213 0 0.007352941176470588 东东南南西北北北 无将 0.007352941176470588
2213 1 0.025210084033613446 东东南南西北北北 有将 0.025210084033613446
2214 0 0.0 东东南南西北北北北 无将 0.0
2214 1 0.0 东东南南西北北北北 有将 0.0
3240 0 0.0 东东东南南西西西西 无将 0.0
3240 1 0.0 东东东南南西西西西 有将 0.0
2211 0 0.0 东东南南西北 无将 0.0
2211 1 0.01680672268907563 东东南南西北 有将 0.01680672268907563
3242 0 0.0 东东东南南西西西西北北 无将 0.0
2210 1 0.0196078431372549 东东南南西 有将 0.0196078431372549
3223 0 0.014705882352941176 东东东南南西西北北北 无将 0.014705882352941176
3223 1 0.058823529411764705 东东东南南西西北北北 有将 0.058823529411764705
3243 0 0.0 东东东南南西西西西北北北 无将 0.0
3243 1 0.0 东东东南南西西西西北北北 有将 0.0
2220 0 0.006920415224913495 东东南南西西 无将 0.006920415224913495
2220 1 0.054117647058823534 东东南南西西 有将 0.054117647058823534
3244 0 0.0 东东东南南西西西西北北北北 无将 0.0
3244 1 0.0 东东东南南西西西西北北北北 有将 0.0
2221 0 0.0053475935828877 东东南南西西北 无将 0.0053475935828877
2221 1 0.0213903743315508 东东南南西西北 有将 0.0213903743315508
2222 0 0.006191950464396284 东东南南西西北北 无将 0.006191950464396284
2222 1 0.029411764705882353 东东南南西西北北 有将 0.029411764705882353
1200 0 0.006191950464396284 东南南 无将 0.006191950464396284
1200 1 0.03529411764705882 东南南 有将 0.03529411764705882
2223 0 0.009049773755656108 东东南南西西北北北 无将 0.009049773755656108
2223 1 0.0392156862745098 东东南南西西北北北 有将 0.0392156862745098
2224 0 0.0 东东南南西西北北北北 无将 0.0
2224 1 0.0 东东南南西西北北北北 有将 0.0
4232 1 0.0 东东东东南南西西西北北 有将 0.0
1202 0 0.004524886877828054 东南南北北 无将 0.004524886877828054
1202 1 0.0196078431372549 东南南北北 有将 0.0196078431372549
1203 0 0.00784313725490196 东南南北北北 无将 0.00784313725490196
1203 1 0.0421865715983363 东南南北北北 有将 0.0421865715983363
1204 0 0.0 东南南北北北北 无将 0.0
1204 1 0.0 东南南北北北北 有将 0.0
2230 0 0.019992310649750097 东东南南西西西 无将 0.019992310649750097
2230 1 0.07958477508650517 东东南南西西西 有将 0.07958477508650517
2231 0 0.007352941176470588 东东南南西西西北 无将 0.007352941176470588
2231 1 0.025210084033613446 东东南南西西西北 有将 0.025210084033613446
2232 0 0.009049773755656108 东东南南西西西北北 无将 0.009049773755656108
2232 1 0.0392156862745098 东东南南西西西北北 有将 0.0392156862745098
1210 0 0.0031796502384737677 东南南西 无将 0.0031796502384737677
1210 1 0.012170385395537525 东南南西 有将 0.012170385395537525
2233 0 0.014705882352941176 东东南南西西西北北北 无将 0.014705882352941176
2233 1 0.058823529411764705 东东南南西西西北北北 有将 0.058823529411764705
2234 0 0.0 东东南南西西西北北北北 无将 0.0
2234 1 0.0 东东南南西西西北北北北 有将 0.0
3222 0 0.009049773755656108 东东东南南西西北北 无将 0.009049773755656108
3222 1 0.0392156862745098 东东东南南西西北北 有将 0.0392156862745098
1212 0 0.0 东南南西北北 无将 0.0
